employee_id,department,job_title,employment_type,salary
E001,Finance,Intern,Full-time,5200
E002,HR,Coordinator,Full-time,4500
E003,IT,Developer,Full-time,7200
E004,Marketing,Specialist,Full-time,4800
E005,Operations,Manager,Full-time,6800
E006,Sales,Associate,Freelance,4600
E007,Administration,Coordinator,Part-time,3200
E008,Legal,Consultant,Contract,8500
E009,Engineering,Engineer,Full-time,7800
E010,Product,Associate,Full-time,5500
E011,Finance,Analyst,Full-time,6500
E012,HR,Manager,Full-time,7200
E013,IT,Developer,Freelance,8800
E014,Marketing,Manager,Full-time,7000
E015,Operations,Coordinator,Full-time,4400
E016,Sales,Manager,Full-time,7500
E017,Administration,Executive,Remote,4000
E018,Legal,Director,Full-time,11000
E019,Engineering,Engineer,Full-time,9500
E020,Product,Manager,Full-time,8000
E021,Finance,Director,Full-time,12000
E022,HR,Specialist,Full-time,5000
E023,IT,Architect,Full-time,10200
E024,Marketing,Analyst,Full-time,4700
E025,Operations,Director,Full-time,11500
E026,Sales,Analyst,Freelance,5800
E027,Administration,Manager,Full-time,6200
E028,Legal,Analyst,Contract,5800
E029,Engineering,Lead Engineer,Remote,9800
E030,Product,Director,Full-time,11800
E031,Customer Service,Coordinator,Full-time,3800
E032,Customer Service,Manager,Full-time,5500
E033,Research,Analyst,Full-time,6000
E034,Research,Director,Full-time,9200
E035,Finance,Associate,Part-time,3200
E036,HR,Associate,Part-time,3000
E037,IT,Specialist,Remote,6800
E038,Marketing,Coordinator,Full-time,4300
E039,Operations,Analyst,Full-time,5000
E040,Sales,Director,Full-time,12500
E041,Administration,Analyst,Full-time,4200
E042,Legal,Consultant,Contract,9200
E043,Engineering,Engineer,Part-time,4500
E044,Product,Analyst,Full-time,5200
E045,Finance,VP,Full-time,14500
E046,HR,Director,Full-time,10800
E047,IT,VP,Full-time,13800
E048,Marketing,Director,Full-time,11200
E049,Operations,VP,Full-time,14000
E050,Sales,Consultant,Contract,7000
E051,Administration,Director,Full-time,9500
E052,Legal,Manager,Full-time,9000
E053,Engineering,Architect,Remote,10500
E054,Product,Manager,Full-time,8800
E055,Customer Service,Specialist,Full-time,4200
E056,Research,Manager,Full-time,9800
E057,Finance,Consultant,Contract,7500
E058,IT,Designer,Freelance,6500
E059,Marketing,Specialist,Full-time,6000
E060,Sales,Analyst,Full-time,4800
E061,Engineering,Lead Engineer,Full-time,11500
E062,Finance,Coordinator,Full-time,4400
E063,HR,Consultant,Remote,6800
E064,IT,Engineer,Full-time,7600
E065,Marketing,Associate,Full-time,4600
E066,Operations,Specialist,Full-time,5200
E067,Sales,Specialist,Freelance,5400
E068,Administration,Specialist,Full-time,3900
E069,Legal,Associate,Contract,5600
E070,Engineering,Coordinator,Remote,4800
E071,Product,Specialist,Full-time,5800
E072,Customer Service,Analyst,Full-time,4000
E073,Research,Consultant,Contract,7200
E074,Finance,Manager,Full-time,8200
E075,HR,Analyst,Full-time,4800
E076,IT,Manager,Full-time,8500
E077,Marketing,Manager,Full-time,7800
E078,Operations,Manager,Full-time,7200
E079,Sales,Manager,Remote,8000
E080,Administration,Associate,Part-time,3400
